city,crime,value
130,Penalva do Castelo,Violência doméstica contra cônjuge ou análogos,17
131,Borba,Condução sem habilitação legal,0
132,Tavira,Condução sem habilitação legal,23
133,Corvo,Condução sem habilitação legal,0
134,Lajes das Flores,Condução sem habilitação legal,0
135,Porto Santo,Condução sem habilitação legal,0
136,Sardoal,Crimes contra a vida em sociedade,26
137,Belmonte,Crimes contra a vida em sociedade,56
138,Fundão,Crimes contra a vida em sociedade,190
139,Manteigas,Crimes contra a vida em sociedade,13
140,Mêda,Crimes contra a vida em sociedade,27
141,Pinhel,Crimes contra a vida em sociedade,67
142,Seia,Crimes contra a vida em sociedade,118
143,Barreiro,Crimes contra a vida em sociedade,445
144,Lisboa,Crimes contra a vida em sociedade,3246
145,Évora,Crimes contra a integridade física,287
146,Mourão,Crimes contra a integridade física,28
147,Portimão,Crimes contra a integridade física,361
148,Silves,Crimes contra a integridade física,273
149,São Roque do Pico,Crimes contra a integridade física,30
151,Porto Moniz,Crimes contra a integridade física,8
153,Arcos de Valdevez,Ofensa à integridade física voluntária simples,42
154,Valença,Ofensa à integridade física voluntária simples,50
155,Ave,Ofensa à integridade física voluntária simples,661
156,Cabeceiras de Basto,Ofensa à integridade física voluntária simples,28
157,Mora,Furto de veículo e em veículo motorizado,4
158,Calheta,Furto de veículo e em veículo motorizado,0
159,Lajes das Flores,Furto de veículo e em veículo motorizado,0
160,Santa Cruz,Furto de veículo e em veículo motorizado,34
161,Monção,Crimes contra a identidade cultural e integridade pessoal,0
162,Ponte da Barca,Crimes contra a identidade cultural e integridade pessoal,0
163,Valença,Crimes contra a identidade cultural e integridade pessoal,0
164,Viana do Castelo,Crimes contra a identidade cultural e integridade pessoal,0
165,Vila Nova de Cerveira,Crimes contra a identidade cultural e integridade pessoal,0
166,Amares,Crimes contra a identidade cultural e integridade pessoal,0
167,Barcelos,Crimes contra a identidade cultural e integridade pessoal,0
168,Vila Verde,Crimes contra a identidade cultural e integridade pessoal,0
169,Vila Franca de Xira,Crimes contra a vida em sociedade,340
170,Aljustrel,Crimes contra a vida em sociedade,41
171,Alvito,Crimes contra a vida em sociedade,27
172,Cuba,Crimes contra a vida em sociedade,32
173,Cartaxo,Crimes contra a vida em sociedade,103
174,Alter do Chão,Crimes contra a vida em sociedade,23
175,Castelo de Vide,Crimes contra a vida em sociedade,10
176,Gavião,Crimes contra a vida em sociedade,3
177,Marvão,Crimes contra a vida em sociedade,14
178,Monforte,Crimes contra a vida em sociedade,14
179,Nisa,Crimes contra a vida em sociedade,37
180,Vendas Novas,Crimes contra a vida em sociedade,70
181,Algarve,Crimes contra a vida em sociedade,2446
182,Albufeira,Crimes contra a vida em sociedade,403
183,Alcoutim,Crimes contra a vida em sociedade,15
184,Portimão,Crimes contra a vida em sociedade,260
193,Arronches,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",6
194,Campo Maior,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",26
195,Sousel,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9
196,Borba,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9
197,Mourão,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",6
198,Portel,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",23
199,Alcoutim,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",12
200,Tavira,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",48
201,Figueira da Foz,Crimes contra as pessoas,466
202,Soure,Crimes contra as pessoas,76
204,Pedrógão Grande,Crimes contra as pessoas,33
205,Pombal,Crimes contra as pessoas,245
206,Mangualde,Crimes contra as pessoas,165
207,Santa Comba Dão,Crimes contra as pessoas,73
208,Vila Nova de Paiva,Crimes contra as pessoas,32
209,Beiras e Serra da Estrela,Crimes contra as pessoas,2088
210,Celorico da Beira,Crimes contra as pessoas,74
211,Amadora,Crimes contra as pessoas,1430
212,Alcácer do Sal,Crimes contra as pessoas,155
213,Ferreira do Zêzere,Crimes contra o património,78
214,Mação,Crimes contra o património,67
215,Torres Novas,Crimes contra o património,591
216,Vila Nova da Barquinha,Crimes contra o património,94
217,Manteigas,Crimes contra o património,26
218,Ribeira de Pena,Crimes contra a vida em sociedade,46
219,Amarante,Crimes contra a vida em sociedade,220
220,Mangualde,Condução sem habilitação legal,18
221,Oliveira de Frades,Condução sem habilitação legal,9
222,Santa Comba Dão,Condução sem habilitação legal,7
223,Viseu,Condução sem habilitação legal,98
224,Proença-a-Nova,Condução sem habilitação legal,15
225,Lisboa,Condução sem habilitação legal,1601
226,Oeiras,Condução sem habilitação legal,218
