,city,crime,value,latitude,longitude
182,Portel,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",23,38.30856705,-7.70511532
183,Alcoutim,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",12,37.4710083,-7.47270346
184,Tavira,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",48,37.12581253,-7.64984083
185,Figueira da Foz,Crimes contra as pessoas,466,40.15078354,-8.85121346
186,Soure,Crimes contra as pessoas,76,-0.7275759,-48.51897812
187,Pedrógão Grande,Crimes contra as pessoas,33,39.91609955,-8.14620686
188,Pombal,Crimes contra as pessoas,245,39.91378021,-8.627491
189,Mangualde,Crimes contra as pessoas,165,40.60571289,-7.76595068
190,Santa Comba Dão,Crimes contra as pessoas,73,40.39793777,-8.1303978
191,Vila Nova de Paiva,Crimes contra as pessoas,32,40.84923935,-7.730093
192,Beiras e Serra da Estrela,Crimes contra as pessoas,2088,40.14260101,-7.83807898
193,Celorico da Beira,Crimes contra as pessoas,74,40.63592148,-7.39322329
194,Amadora,Crimes contra as pessoas,1430,38.76232529,-9.23991013
195,Alcácer do Sal,Crimes contra as pessoas,155,38.37112427,-8.51945114
196,Ferreira do Zêzere,Crimes contra o património,78,39.69324875,-8.29031563
197,Mação,Crimes contra o património,67,22.13883591,113.57136536
198,Torres Novas,Crimes contra o património,591,39.47777939,-8.5408926
199,Vila Nova da Barquinha,Crimes contra o património,94,39.45941162,-8.43315887
200,Manteigas,Crimes contra o património,26,40.4005394,-7.53964806
201,Ribeira de Pena,Crimes contra a vida em sociedade,46,41.51984787,-7.79359674
202,Amarante,Crimes contra a vida em sociedade,220,41.26974869,-8.07833576
203,Mangualde,Condução sem habilitação legal,18,40.60571289,-7.76595068
204,Oliveira de Frades,Condução sem habilitação legal,9,40.73141479,-8.17673016
205,Santa Comba Dão,Condução sem habilitação legal,7,40.39793777,-8.1303978
206,Viseu,Condução sem habilitação legal,98,40.65754318,-7.91427946
207,Proença-a-Nova,Condução sem habilitação legal,15,39.74979401,-7.92522621
208,Lisboa,Condução sem habilitação legal,1601,38.70700836,-9.1356411
209,Oeiras,Condução sem habilitação legal,218,38.69740677,-9.30830956
210,Alentejo Litoral,Condução sem habilitação legal,265,37.95000076,-8.86699963
211,Cuba,Condução sem habilitação legal,6,23.013134,-80.83287811
212,Arronches,Condução sem habilitação legal,0,39.12173462,-7.28415585
213,Castelo de Vide,Condução sem habilitação legal,0,39.41464996,-7.45658541
214,Portalegre,Condução sem habilitação legal,14,39.29139709,-7.43234539
215,Oeiras,Crimes contra o património,2086,38.69740677,-9.30830956
216,Setúbal,Crimes contra o património,2414,38.52458572,-8.89315319
217,Sintra,Crimes contra o património,6412,38.79844284,-9.38821888
218,Ferreira do Alentejo,Crimes contra o património,140,38.05828857,-8.11643314
219,Mértola,Crimes contra o património,52,37.63889694,-7.66215849
220,Azambuja,Crimes contra o património,410,39.06862259,-8.86911678
221,Chamusca,Crimes contra o património,123,39.35948944,-8.4807415
222,Coruche,Crimes contra o património,356,38.95809555,-8.52837372
223,Sousel,Crimes contra o património,55,38.95223618,-7.67602539
224,Mourão,Crimes contra o património,70,38.38482666,-7.34661865
225,Lagoa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",26,37.13472748,-8.45262527
226,Lajes do Pico,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",0,38.39445496,-28.2521553
227,Santa Cruz da Graciosa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",9,39.08495331,-28.00520515
228,Velas,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",16,38.68994522,-28.21458244
229,Câmara de Lobos,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",218,32.64857101,-16.97599411
230,Ponta do Sol,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,32.67991638,-17.10394287
231,Vila Nova de Cerveira,Crimes contra o Estado,0,41.94009781,-8.74443722
232,Lamego,Crimes contra a integridade física,109,41.09872818,-7.81093788
233,Murça,Crimes contra a integridade física,24,41.40814209,-7.45370197
234,Torre de Moncorvo,Crimes contra a integridade física,42,41.17551804,-7.05238962
235,Vila Real,Crimes contra a integridade física,238,41.29589844,-7.74635267
236,Terras de Trás-os-Montes,Crimes contra a integridade física,482,41.48300171,-7.21700001
237,Vimioso,Crimes contra a integridade física,15,41.58392715,-6.52773142
238,Alcobaça,Crimes contra a integridade física,200,39.54996872,-8.98292637
239,Alenquer,Crimes contra a integridade física,226,39.05612564,-9.0062027
240,Caldas da Rainha,Crimes contra a integridade física,238,39.40735626,-9.13641644
241,Felgueiras,Crimes contra a vida em sociedade,305,41.36618805,-8.19936275
242,Resende,Crimes contra a vida em sociedade,80,-22.46836281,-44.4463501
243,Armamar,Crimes contra a vida em sociedade,9,41.1090126,-7.69127417
244,Lamego,Crimes contra a vida em sociedade,67,41.09872818,-7.81093788
245,Vila Nova de Foz Côa,Crimes contra a vida em sociedade,34,41.0828476,-7.13512659
246,Vila Real,Crimes contra a vida em sociedade,275,41.29589844,-7.74635267
247,Alfândega da Fé,Crimes contra a vida em sociedade,27,41.34515762,-6.96669292
248,Vimioso,Crimes contra a vida em sociedade,22,41.58392715,-6.52773142
249,Lourinhã,Crimes contra a vida em sociedade,72,39.24247742,-9.31228924
250,Oliveira do Bairro,Crimes contra a vida em sociedade,226,40.51544571,-8.49402428
251,Figueira da Foz,Crimes contra a vida em sociedade,220,40.15078354,-8.85121346
252,Oliveira do Hospital,Crimes contra a vida em sociedade,103,40.35971451,-7.86166334
253,Ansião,Crimes contra a vida em sociedade,30,39.91284943,-8.43531704
254,Batalha,Crimes contra a vida em sociedade,83,39.65784454,-8.82426262
255,Mangualde,Crimes contra a vida em sociedade,109,40.60571289,-7.76595068
256,Vouzela,Crimes contra a vida em sociedade,23,40.72304153,-8.11218834
257,Oleiros,Crimes contra a vida em sociedade,25,39.91891479,-7.914042
258,Proença-a-Nova,Crimes contra a vida em sociedade,49,39.74979401,-7.92522621
259,Sobral de Monte Agraço,Crimes contra a integridade física,70,39.0183754,-9.15186882
260,Anadia,Crimes contra a integridade física,117,40.44081116,-8.43506527
261,Aveiro,Crimes contra a integridade física,415,40.64118576,-8.65361691
262,Ílhavo,Crimes contra a integridade física,184,40.60107803,-8.67039108
263,Arganil,Crimes contra a integridade física,64,40.21946335,-8.05384541
264,Condeixa-a-Nova,Crimes contra a integridade física,46,40.11454391,-8.50013638
265,Mealhada,Crimes contra a integridade física,86,40.37810516,-8.45144558
266,Mira,Crimes contra a integridade física,71,40.42790222,-8.73530579
267,Soure,Crimes contra a integridade física,54,-0.7275759,-48.51897812
268,Celorico de Basto,Furto de veículo e em veículo motorizado,11,41.3871727,-8.00118923
269,Felgueiras,Furto de veículo e em veículo motorizado,79,41.36618805,-8.19936275
270,Resende,Furto de veículo e em veículo motorizado,13,-22.46836281,-44.4463501
271,Armamar,Furto de veículo e em veículo motorizado,8,41.1090126,-7.69127417
272,Penedono,Furto de veículo e em veículo motorizado,0,40.98884964,-7.39228821
273,Vinhais,Furto de veículo e em veículo motorizado,0,41.83559036,-7.00143051
274,Anadia,Furto de veículo e em veículo motorizado,55,40.44081116,-8.43506527
