city,crime,value
138,Vila Nova da Barquinha,Crimes previstos em legislação avulsa,22
139,Beiras e Serra da Estrela,Crimes previstos em legislação avulsa,440
140,Mafra,Crimes previstos em legislação avulsa,183
141,Moita,Crimes previstos em legislação avulsa,128
142,Seixal,Crimes previstos em legislação avulsa,272
143,Baixo Alentejo,Crimes previstos em legislação avulsa,278
144,Almodôvar,Crimes previstos em legislação avulsa,22
145,Barrancos,Crimes previstos em legislação avulsa,7
146,Serpa,Crimes previstos em legislação avulsa,20
147,Coruche,Crimes previstos em legislação avulsa,46
148,Vila Nova de Gaia,Ofensa à integridade física voluntária simples,593
149,Ribeira de Pena,Ofensa à integridade física voluntária simples,10
150,Baião,Ofensa à integridade física voluntária simples,30
151,Felgueiras,Ofensa à integridade física voluntária simples,94
152,Paços de Ferreira,Ofensa à integridade física voluntária simples,109
153,Douro,Ofensa à integridade física voluntária simples,351
154,Lamego,Ofensa à integridade física voluntária simples,43
155,Mesão Frio,Ofensa à integridade física voluntária simples,10
156,Sabrosa,Ofensa à integridade física voluntária simples,11
157,Sernancelhe,Ofensa à integridade física voluntária simples,7
158,Tabuaço,Ofensa à integridade física voluntária simples,7
159,Mirandela,Ofensa à integridade física voluntária simples,39
160,Vinhais,Ofensa à integridade física voluntária simples,16
161,Alenquer,Ofensa à integridade física voluntária simples,95
162,Bombarral,Ofensa à integridade física voluntária simples,16
163,Caldas da Rainha,Ofensa à integridade física voluntária simples,93
164,Lourinhã,Ofensa à integridade física voluntária simples,64
165,Nazaré,Ofensa à integridade física voluntária simples,36
166,Óbidos,Ofensa à integridade física voluntária simples,17
167,Serpa,Crimes contra a identidade cultural e integridade pessoal,0
168,Salvaterra de Magos,Crimes contra a identidade cultural e integridade pessoal,0
169,Avis,Crimes contra a identidade cultural e integridade pessoal,0
170,Ponte de Sor,Crimes contra a identidade cultural e integridade pessoal,0
171,Portalegre,Crimes contra a identidade cultural e integridade pessoal,0
172,Póvoa de Varzim,Condução sem habilitação legal,7
173,Alto Tâmega,Condução sem habilitação legal,65
174,Valpaços,Condução sem habilitação legal,15
175,Tâmega e Sousa,Condução sem habilitação legal,406
176,Paços de Ferreira,Condução sem habilitação legal,66
177,Torre de Moncorvo,Condução sem habilitação legal,6
178,Vila Nova de Foz Côa,Condução sem habilitação legal,8
179,Vila Flor,Condução sem habilitação legal,7
180,Sever do Vouga,Condução sem habilitação legal,10
181,Figueira da Foz,Condução sem habilitação legal,55
182,Mira,Condução sem habilitação legal,3
183,Montemor-o-Velho,Condução sem habilitação legal,31
184,Penela,Condução sem habilitação legal,3
185,Castro Daire,Condução sem habilitação legal,12
186,Estremoz,Ofensa à integridade física voluntária simples,22
187,Mora,Ofensa à integridade física voluntária simples,25
188,Algarve,Ofensa à integridade física voluntária simples,1668
189,Marco de Canaveses,Crimes contra as pessoas,353
190,Douro,Crimes contra as pessoas,1469
191,Armamar,Crimes contra as pessoas,28
192,Penedono,Crimes contra as pessoas,20
193,Mogadouro,Crimes contra as pessoas,44
194,Castelo de Paiva,Crimes contra o património,90
195,Felgueiras,Crimes contra o património,490
196,Paços de Ferreira,Crimes contra o património,514
197,Penafiel,Crimes contra o património,569
198,Douro,Crimes contra o património,1582
199,Penedono,Crimes contra o património,20
200,Tabuaço,Crimes contra o património,46
201,Vinhais,Crimes contra o património,48
202,Caldas da Rainha,Crimes contra o património,624
203,Nazaré,Crimes contra o património,261
204,Óbidos,Crimes contra o património,159
205,Alter do Chão,Crimes contra o Estado,0
206,Campo Maior,Crimes contra o Estado,0
207,Gavião,Crimes contra o Estado,0
208,Alentejo Central,Crimes contra o Estado,99
209,Redondo,Crimes contra o Estado,0
210,Horta,Crimes contra o Estado,4
211,Ribeira Grande,Crimes contra o Estado,56
212,Velas,Crimes contra o Estado,3
213,Vila Franca do Campo,Crimes contra o Estado,0
214,Pedrógão Grande,Crimes de homicídio voluntário consumado,0
215,Tondela,Crimes de homicídio voluntário consumado,0
216,Beira Baixa,Crimes de homicídio voluntário consumado,0
217,Entroncamento,Crimes de homicídio voluntário consumado,0
218,Belmonte,Crimes de homicídio voluntário consumado,0
219,Trancoso,Crimes de homicídio voluntário consumado,0
220,Sines,Crimes de homicídio voluntário consumado,0
221,Entroncamento,Roubo por esticão e na via pública,21
222,Sertã,Roubo por esticão e na via pública,0
223,Belmonte,Roubo por esticão e na via pública,0
224,Fundão,Roubo por esticão e na via pública,7
225,Santiago do Cacém,Roubo por esticão e na via pública,8
226,Baixo Alentejo,Roubo por esticão e na via pública,24
227,Alter do Chão,Roubo por esticão e na via pública,0
228,Campo Maior,Roubo por esticão e na via pública,0
229,Castelo de Vide,Roubo por esticão e na via pública,0
230,Elvas,Roubo por esticão e na via pública,10
231,Gavião,Roubo por esticão e na via pública,0
232,Câmara de Lobos,Crimes contra o Estado,41
233,Ribeira Brava,Crimes contra o Estado,10
234,Fafe,Crimes contra animais de companhia,16
235,Mondim de Basto,Crimes contra animais de companhia,0
236,Mirandela,Crimes contra a integridade física,104
237,Mogadouro,Crimes contra a integridade física,27
239,Torre de Moncorvo,Crimes contra a vida em sociedade,66
240,Macedo de Cavaleiros,Crimes contra a vida em sociedade,90
241,Miranda do Douro,Crimes contra a vida em sociedade,49
242,Arruda dos Vinhos,Crimes contra a vida em sociedade,42
243,Albergaria-a-Velha,Crimes contra a vida em sociedade,140
244,Sever do Vouga,Crimes contra a vida em sociedade,36
246,Arganil,Crimes contra a vida em sociedade,57
247,Mira,Crimes contra a vida em sociedade,30
248,Alvaiázere,Crimes contra a vida em sociedade,25
249,Figueiró dos Vinhos,Crimes contra a vida em sociedade,69
250,Carregal do Sal,Crimes contra a vida em sociedade,40
251,Oliveira de Frades,Crimes contra a vida em sociedade,36
252,Santa Comba Dão,Crimes contra a vida em sociedade,46
